City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Esperance,AU,-33.8667,121.9,62.11,54,26,14.29,scattered clouds
280,Kangaatsiaq,GL,68.3065,-53.4641,20.26,85,100,6.38,overcast clouds
281,Bethel,US,41.3712,-73.414,28.76,54,0,3.44,clear sky
282,Nikolsk,RU,53.7189,46.0712,31.82,95,100,6.02,overcast clouds
283,Buala,SB,-8.145,159.5921,81.95,77,41,4.5,moderate rain
284,Tambopata,PE,-12.7333,-69.1833,75.63,86,100,3.15,overcast clouds
285,Muros,ES,42.7762,-9.0603,61.14,93,100,24.74,light rain
286,Damghan,IR,36.1683,54.348,54.82,34,0,0.76,clear sky
287,Bandarbeyla,SO,9.4942,50.8122,80.6,67,85,17.54,overcast clouds
288,Hamilton,US,39.1834,-84.5333,27.88,54,0,8.05,clear sky
289,Salalah,OM,17.0151,54.0924,84.29,54,0,1.14,clear sky
290,Coquimbo,CL,-29.9533,-71.3436,56.93,100,100,4.61,overcast clouds
291,Bardiyah,LY,31.7561,25.0865,66.61,34,97,10.27,overcast clouds
292,Mianwali,PK,32.5741,71.5264,73.83,24,0,4.32,clear sky
293,Otjiwarongo,NA,-20.4637,16.6477,76.06,32,100,5.26,overcast clouds
294,Walvis Bay,NA,-22.9575,14.5053,60.1,74,97,0.76,overcast clouds
295,Qaqortoq,GL,60.7167,-46.0333,21.29,86,98,2.01,overcast clouds
296,Seoul,KR,37.5683,126.9778,60.4,55,75,6.91,broken clouds
297,Porto-Vecchio,FR,41.591,9.2795,56.86,62,75,16.11,broken clouds
298,Vao,NC,-22.6667,167.4833,76.14,80,55,9.08,broken clouds
299,Stykkisholmur,IS,65.0757,-22.7297,39.15,75,100,8.75,overcast clouds
300,Nador,MA,35.174,-2.9287,57.45,77,0,2.3,clear sky
301,Kichera,RU,55.9375,110.0997,7.83,87,100,5.73,overcast clouds
302,Gornopravdinsk,RU,60.05,69.9,14.81,89,100,11.9,overcast clouds
303,Ilulissat,GL,69.2167,-51.1,21.22,68,75,4.61,broken clouds
304,San-Pedro,CI,4.7485,-6.6363,75.67,90,99,3.87,overcast clouds
305,Lososina,RU,48.9975,140.3106,33.3,41,100,5.53,overcast clouds
306,Karratha,AU,-20.7377,116.8463,84.9,23,100,16.28,overcast clouds
307,Pevek,RU,69.7008,170.3133,-8.36,96,100,7.45,light snow
308,Bintulu,MY,3.1667,113.0333,91.81,62,40,5.75,scattered clouds
309,Abu Dhabi,AE,24.4667,54.3667,82.51,54,0,10.36,clear sky
310,Yar-Sale,RU,66.8333,70.8333,5.43,95,100,15.61,light snow
311,Faya,SA,18.3851,42.4509,59.11,42,4,3.38,clear sky
312,Oum Hadjer,TD,13.2954,19.6966,77.9,16,11,8.19,few clouds
313,Sola,VU,-13.8833,167.55,79.47,89,24,0.0,few clouds
314,Murgab,TM,37.4966,61.9714,57.07,67,0,4.61,clear sky
315,Chippewa Falls,US,44.9369,-91.3929,27.37,87,0,3.44,clear sky
316,Nhulunbuy,AU,-12.2333,136.7667,93.81,52,75,11.5,broken clouds
317,Ruwi,OM,23.5996,58.5507,82.09,48,0,3.94,clear sky
318,Kudahuvadhoo,MV,2.6708,72.8944,81.37,79,23,22.1,few clouds
319,Victor Harbor,AU,-35.5667,138.6167,57.69,60,98,3.0,overcast clouds
320,Shache,CN,38.4167,77.2406,50.74,23,31,0.49,scattered clouds
321,Korla,CN,41.7597,86.1469,45.1,28,100,9.37,overcast clouds
322,Ola,RU,59.5833,151.2833,19.15,88,100,25.05,light snow
323,San Rafael,AR,-34.6177,-68.3301,56.61,34,6,5.35,clear sky
324,Sri Aman,MY,1.2376,111.4621,93.25,55,40,3.44,scattered clouds
325,Dawson Creek,CA,55.7666,-120.2362,38.84,60,75,9.22,broken clouds
326,Krasnoselkup,RU,65.7,82.4667,-19.71,97,67,7.96,broken clouds
327,Prokudskoye,RU,55.0089,82.4574,8.47,71,0,6.71,clear sky
328,Hindaun,IN,26.7167,77.0167,77.88,22,0,3.87,clear sky
329,Uglegorsk,RU,49.0833,142.0333,32.22,62,67,4.32,broken clouds
330,Rawson,AR,-43.3002,-65.1023,53.1,53,0,12.73,clear sky
331,Bengkulu,ID,-3.8004,102.2655,83.46,68,15,10.45,few clouds
332,Yatou,CN,37.15,122.3833,53.19,75,100,14.83,overcast clouds
333,Khatra,IN,22.9833,86.85,80.92,25,100,6.62,overcast clouds
334,Kaihua,CN,23.3687,104.28,69.62,69,58,12.21,broken clouds
335,Darien,US,41.752,-87.974,30.7,59,0,19.57,clear sky
336,Lahat,ID,-3.8,103.5333,91.78,47,59,4.03,broken clouds
337,Fare,PF,-16.7,-151.0167,78.3,74,12,15.26,few clouds
338,La Ronge,CA,55.1001,-105.2842,17.82,79,20,5.75,few clouds
339,Sorong,ID,-0.8833,131.25,85.15,69,100,9.01,overcast clouds
340,Sur,OM,22.5667,59.5289,81.64,46,0,6.58,clear sky
341,Udachnyy,RU,66.4167,112.4,-23.69,100,85,3.4,overcast clouds
342,Ekhabi,RU,53.5102,142.9671,21.79,92,17,8.12,few clouds
343,Kavieng,PG,-2.5744,150.7967,84.67,63,100,10.92,overcast clouds
344,Oranjemund,NA,-28.55,16.4333,64.58,77,51,10.27,broken clouds
345,Aalsmeer,NL,52.2641,4.7653,38.1,92,75,8.01,fog
346,Waterloo,CA,43.4668,-80.5164,19.78,73,0,8.05,clear sky
347,Faanui,PF,-16.4833,-151.75,78.71,73,14,16.42,few clouds
348,Catamarca,AR,-28.4696,-65.7852,65.77,70,100,3.0,overcast clouds
349,Belaya Gora,RU,68.5333,146.4167,-31.72,100,91,1.5,overcast clouds
350,Severo-Yeniseyskiy,RU,60.3725,93.0408,-7.13,95,93,1.81,overcast clouds
351,Arteaga,MX,18.4667,-102.4167,62.33,86,96,2.3,overcast clouds
352,Padang,ID,-0.9492,100.3543,86.05,66,15,6.11,few clouds
353,Linares,CL,-35.85,-71.6,50.2,59,0,2.59,clear sky
354,Houston,US,29.7633,-95.3633,50.92,76,100,9.22,overcast clouds
355,Tasiilaq,GL,65.6145,-37.6368,35.02,87,100,9.89,overcast clouds
356,Riachao,BR,-7.3619,-46.6172,69.37,86,14,3.38,few clouds
357,Abha,SA,18.2164,42.5053,58.82,58,0,5.75,clear sky
358,Egvekinot,RU,66.3167,-179.1667,-13.83,88,100,13.4,overcast clouds
359,Magadi,IN,12.9667,77.2333,77.16,43,98,5.57,overcast clouds
