City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
67,Victoria,HK,79.97,heavy intensity rain,22.2855,114.1577,Mini Central
77,Hithadhoo,MV,80.46,broken clouds,-0.6,73.0833,Scoop Guest House
79,Daru,PG,85.26,broken clouds,-9.0763,143.2092,Daru Lodge
84,Bubaque,GW,82.02,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
85,Carnarvon,AU,81.39,clear sky,-24.8667,113.6333,Hospitality Carnarvon
90,Kingaroy,AU,86.88,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
91,Lethem,GY,77.25,broken clouds,3.3803,-59.7968,Savannah Inn
92,Bambous Virieux,MU,82.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
94,Onverwacht,SR,77.86,clear sky,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
97,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
101,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
104,Axim,GH,77.4,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
107,Harper,LR,75.97,overcast clouds,4.375,-7.7169,Screensaver
112,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
115,Sandakan,MY,87.48,few clouds,5.8402,118.1179,Hotel Sandakan
121,Narrabri,AU,76.51,clear sky,-30.3167,149.7833,Crossroads Hotel
122,Hobyo,SO,83.01,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
132,Hervey Bay,AU,83.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
135,Suratgarh,IN,75.15,few clouds,29.3167,73.9,Maharaja Hotel
136,Ormara,PK,79.45,clear sky,25.2088,64.6357,Kenara Colony House for Rent
137,Bambanglipuro,ID,83.5,broken clouds,-7.95,110.2833,Puri Brata
140,Berbera,SO,82.06,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
162,Ranong,TH,82.33,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
167,Tual,ID,85.41,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
168,Barahona,DO,75.6,clear sky,18.2085,-71.1008,Hotel Caribe
176,Lorengau,PG,85.62,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
182,Malakal,SS,83.46,clear sky,9.5334,31.6605,Nile Palace Hotel
185,San Pedro,PH,87.31,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
186,Dingle,PH,85.41,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
188,Nelson Bay,AU,78.12,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
191,Atuona,PF,77.4,broken clouds,-9.8,-139.0333,Villa Enata
197,Dubti,ET,80.49,clear sky,11.7361,41.0853,degu Shiferaw
198,Pangai,TO,78.4,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
200,Porto Novo,BJ,78.62,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
206,Ambilobe,MG,83.98,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
207,Takoradi,GH,77.52,light rain,4.8845,-1.7554,Raybow International Hotel
209,Port Moresby,PG,78.22,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
210,Caucaia,BR,80.55,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
211,Coloso,CO,75.15,overcast clouds,9.4915,-75.3615,CALLE LAS FLORES COLOSO
213,Eyl,SO,81.91,overcast clouds,7.9803,49.8164,EYL AQUE SYSTEM
216,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
217,Thinadhoo,MV,81.07,broken clouds,0.5333,72.9333,
218,Samarai,PG,82.98,moderate rain,-10.6167,150.6667,Nuli Sapi
226,Goalpara,IN,76.03,overcast clouds,26.1667,90.6167,Hotel Moon Moon
227,Monrovia,LR,75.33,moderate rain,6.3005,-10.7969,Sunset Inn
229,Port Hedland,AU,89.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
230,Touros,BR,77.29,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
