City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Kisangani,CD,2022-11-13 10:01:15,0.5167,25.2,76.06,78,100,3.83
260,Acajutla,SV,2022-11-13 10:01:15,13.5928,-89.8275,75.51,84,13,5.1
261,Dingle,PH,2022-11-13 10:01:15,10.9995,122.6711,78.39,89,100,7.11
262,Berea,US,2022-11-13 10:01:16,41.3662,-81.8543,35.6,84,83,5.99
263,Fuyang,CN,2022-11-13 10:01:16,32.9,115.8167,46.44,72,100,5.75
264,Dauphin,CA,2022-11-13 09:56:30,51.1494,-100.0502,12.34,85,100,4.61
265,Tuatapere,NZ,2022-11-13 10:01:17,-46.1333,167.6833,47.61,94,100,3.65
266,Gobabis,NA,2022-11-13 10:01:18,-22.45,18.9667,77.07,19,0,11.99
267,Ust-Charyshskaya Pristan,RU,2022-11-13 10:01:18,52.3934,83.6635,37.04,78,100,25.08
268,Cabedelo,BR,2022-11-13 10:01:19,-6.9811,-34.8339,79.7,74,7,7.23
269,Yurginskoye,RU,2022-11-13 10:01:19,56.8189,67.3921,33.26,99,100,8.75
270,Cherskiy,RU,2022-11-13 10:01:20,68.75,161.3,-25.31,100,97,5.41
271,Babushkin,RU,2022-11-13 10:01:21,51.7122,105.8647,25.77,74,6,7.43
272,Puri,IN,2022-11-13 10:01:21,19.8,85.85,84.72,45,9,8.68
273,Manadhoo,MV,2022-11-13 10:02:22,5.7667,73.3833,81.14,77,36,11.23
274,Reconquista,AR,2022-11-13 10:02:22,-29.15,-59.65,71.62,78,0,9.22
275,Mailsi,PK,2022-11-13 10:02:23,29.8003,72.1758,86.0,20,100,4.38
276,Severo-Kurilsk,RU,2022-11-13 10:02:23,50.6789,156.125,33.58,59,99,12.95
277,Canby,US,2022-11-13 10:00:22,45.2629,-122.6926,40.3,82,0,0.0
278,Paciran,ID,2022-11-13 10:02:24,-6.8767,112.3761,83.52,73,99,3.78
279,Yebaishou,CN,2022-11-13 10:02:24,41.3975,119.6408,32.58,40,0,3.36
280,Sorong,ID,2022-11-13 10:02:24,-0.8833,131.25,83.44,74,94,3.51
281,Goderich,CA,2022-11-13 10:02:25,43.7501,-81.7165,35.91,83,100,15.46
282,Fruitvale,US,2022-11-13 10:02:25,39.0817,-108.4968,33.03,80,0,3.44
